CalendarYear,Area,SpeciesGroup,NumberCaught Total
2019,Rainbow Beach,Shark,34
2019,Rainbow Beach,Turtle,18
2019,Rainbow Beach Total,,71
2019,Sunshine Coast North,Mammal,5
2019,Sunshine Coast North,Other,19
2019,Sunshine Coast North,Shark,56
2019,Sunshine Coast North,Turtle,5
2019,Sunshine Coast North Total,,85
2019,Sunshine Coast South,Mammal,1
2019,Sunshine Coast South,Other,3
2019,Sunshine Coast South,Shark,13
2019,Sunshine Coast South,Turtle,1
2019,Sunshine Coast South Total,,18
2019,Townsville,Other,7
2019,Townsville,Shark,82
2019,Townsville,Turtle,2
2019,Townsville Total,,91
2019 Total,,,642
2020,Bribie Island,Shark,1
2020,Bundaberg,Other,1
2020,Bundaberg,Shark,55
2020,Bundaberg Total,,56
2020,Cairns,Other,1
2020,Cairns,Shark,62
2020,Cairns Total,,63
2020,Capricorn Coast,Other,1
2020,Capricorn Coast,Shark,50
2020,Capricorn Coast Total,,51
2020,Gladstone,Shark,29
2020,Gladstone,Turtle,1
2020,Gladstone Total,,30
2020,Gold Coast,Mammal,9
2020,Gold Coast,Other,26
2020,Gold Coast,Shark,84
2020,Gold Coast,Turtle,10
2020,Gold Coast Total,,129
2020,Mackay,Other,5
2020,Mackay,Shark,68
2020,Mackay Total,,73
2020,Nth Stradbroke Is.,Mammal,2
2020,Nth Stradbroke Is.,Shark,14
2020,Nth Stradbroke Is.,Turtle,3
2020,Nth Stradbroke Is. Total,,19
2020,Rainbow Beach,Other,22
2020,Rainbow Beach,Shark,34
2020,Rainbow Beach,Turtle,19
2020,Rainbow Beach Total,,75
2020,Sunshine Coast North,Mammal,3
2020,Sunshine Coast North,Other,27
2020,Sunshine Coast North,Shark,58
2020,Sunshine Coast North,Turtle,3
2020,Sunshine Coast North Total,,91
2020,Sunshine Coast South,Mammal,1
2020,Sunshine Coast South,Other,4
2020,Sunshine Coast South,Shark,9
2020,Sunshine Coast South,Turtle,1
2020,Sunshine Coast South Total,,15
2020,Townsville,Other,13
2020,Townsville,Shark,130
2020,Townsville Total,,143
2020 Total,,,746
2021,Bribie Island,Shark,1
2021,Bribie Island,Turtle,1
2021,Bribie Island Total,,2
2021,Bundaberg,Other,2
2021,Bundaberg,Shark,73
2021,Bundaberg Total,,75
2021,Cairns,Other,1
2021,Cairns,Shark,58
2021,Cairns Total,,59
2021,Capricorn Coast,Other,1
2021,Capricorn Coast,Shark,144
2021,Capricorn Coast,Turtle,3
2021,Capricorn Coast Total,,148
2021,Gladstone,Shark,34
2021,Gladstone,Turtle,3
2021,Gladstone Total,,37
2021,Gold Coast,Mammal,5
2021,Gold Coast,Other,21
2021,Gold Coast,Shark,84
2021,Gold Coast,Turtle,4
2021,Gold Coast Total,,114
2021,Mackay,Other,2
2021,Mackay,Shark,93
2021,Mackay Total,,95
2021,Nth Stradbroke Is.,Mammal,2
2021,Nth Stradbroke Is.,Other,1
2021,Nth Stradbroke Is.,Shark,24
2021,Nth Stradbroke Is.,Turtle,12
2021,Nth Stradbroke Is. Total,,39
2021,Rainbow Beach,Mammal,1
2021,Rainbow Beach,Other,19
2021,Rainbow Beach,Shark,49
2021,Rainbow Beach,Turtle,27
2021,Rainbow Beach Total,,96
2021,Sunshine Coast North,Mammal,8
2021,Sunshine Coast North,Other,23
2021,Sunshine Coast North,Shark,63
2021,Sunshine Coast North,Turtle,4
2021,Sunshine Coast North Total,,98
2021,Sunshine Coast South,Other,11
2021,Sunshine Coast South,Shark,25
2021,Sunshine Coast South Total,,36
2021,Townsville,Other,7
2021,Townsville,Shark,150
2021,Townsville,Turtle,3
2021,Townsville Total,,160
2021 Total,,,959
2022,Bribie Island,Mammal,1
2022,Bribie Island,Shark,3
2022,Bribie Island Total,,4
2022,Bundaberg,Shark,64
2022,Cairns,Other,2
2022,Cairns,Shark,60
2022,Cairns Total,,62
2022,Capricorn Coast,Other,8
2022,Capricorn Coast,Shark,178
2022,Capricorn Coast,Turtle,10
2022,Capricorn Coast Total,,196
2022,Gladstone,Shark,47
2022,Gladstone,Turtle,2
2022,Gladstone Total,,49
2022,Gold Coast,Mammal,10
2022,Gold Coast,Other,5
2022,Gold Coast,Shark,69
2022,Gold Coast,Turtle,18
2022,Gold Coast Total,,102
2022,Mackay,Other,1
2022,Mackay,Shark,61
2022,Mackay Total,,62
2022,Nth Stradbroke Is.,Mammal,2
2022,Nth Stradbroke Is.,Other,2
2022,Nth Stradbroke Is.,Shark,16
2022,Nth Stradbroke Is.,Turtle,8
2022,Nth Stradbroke Is. Total,,28
2022,Rainbow Beach,Mammal,1
2022,Rainbow Beach,Other,8
2022,Rainbow Beach,Shark,43
2022,Rainbow Beach,Turtle,29
2022,Rainbow Beach Total,,81
2022,Sunshine Coast North,Mammal,5
2022,Sunshine Coast North,Other,13
2022,Sunshine Coast North,Shark,60
2022,Sunshine Coast North,Turtle,5
2022,Sunshine Coast North Total,,83
2022,Sunshine Coast South,Mammal,3
2022,Sunshine Coast South,Other,5
2022,Sunshine Coast South,Shark,25
2022,Sunshine Coast South,Turtle,4
2022,Sunshine Coast South Total,,37
2022,Townsville,Other,6
2022,Townsville,Shark,127
2022,Townsville Total,,133
2022 Total,,,901
2023,Bribie Island,Mammal,1
2023,Bribie Island,Shark,2
2023,Bribie Island,Turtle,1
2023,Bribie Island Total,,4
2023,Bundaberg,Other,1
2023,Bundaberg,Shark,54
2023,Bundaberg,Turtle,1
2023,Bundaberg Total,,56
2023,Cairns,Shark,66
2023,Capricorn Coast,Other,4
2023,Capricorn Coast,Shark,244
2023,Capricorn Coast,Turtle,3
2023,Capricorn Coast Total,,251
2023,Gladstone,Other,1
2023,Gladstone,Shark,87
2023,Gladstone,Turtle,5
2023,Gladstone Total,,93
2023,Gold Coast,Mammal,8
2023,Gold Coast,Other,18
2023,Gold Coast,Shark,85
2023,Gold Coast,Turtle,5
2023,Gold Coast Total,,116
2023,Mackay,Other,4
2023,Mackay,Shark,72
2023,Mackay Total,,76
2023,Nth Stradbroke Is.,Mammal,1
2023,Nth Stradbroke Is.,Other,2
2023,Nth Stradbroke Is.,Shark,13
2023,Nth Stradbroke Is.,Turtle,3
2023,Nth Stradbroke Is. Total,,19
2023,Rainbow Beach,Mammal,5
2023,Rainbow Beach,Other,14
2023,Rainbow Beach,Shark,33
2023,Rainbow Beach,Turtle,15
2023,Rainbow Beach Total,,67
2023,Sunshine Coast North,Mammal,7
2023,Sunshine Coast North,Other,20
2023,Sunshine Coast North,Shark,89
2023,Sunshine Coast North,Turtle,5
2023,Sunshine Coast North Total,,121
2023,Sunshine Coast South,Mammal,1
2023,Sunshine Coast South,Other,5
2023,Sunshine Coast South,Shark,34
2023,Sunshine Coast South Total,,40
2023,Townsville,Other,8
2023,Townsville,Shark,179
2023,Townsville Total,,187
2023 Total,,,1096
2024,Bundaberg,Shark,25
2024,Cairns,Shark,66
2024,Capricorn Coast,Other,2
2024,Capricorn Coast,Shark,130
2024,Capricorn Coast Total,,132
2024,Gladstone,Shark,61
2024,Gold Coast,Other,3
2024,Gold Coast,Shark,19
2024,Gold Coast,Turtle,2
2024,Gold Coast Total,,24
2024,Mackay,Shark,19
2024,Nth Stradbroke Is.,Shark,6
2024,Rainbow Beach,Mammal,1
2024,Rainbow Beach,Other,5
2024,Rainbow Beach,Shark,19
2024,Rainbow Beach,Turtle,2
2024,Rainbow Beach Total,,27
2024,Sunshine Coast North,Mammal,3
2024,Sunshine Coast North,Other,5
2024,Sunshine Coast North,Shark,49
2024,Sunshine Coast North,Turtle,2
2024,Sunshine Coast North Total,,59
2024,Sunshine Coast South,Other,2
2024,Sunshine Coast South,Shark,12
2024,Sunshine Coast South Total,,14
2024,Townsville,Other,4
2024,Townsville,Shark,65
2024,Townsville Total,,69
2024 Total,,,502
Grand Total,,,19039
